name,jname,enname,species,typen,type1,type2,ability1,abilityd,ndex,kdex,oldjdex,jdex,kdexs,gdexa,fbrow,obrow,opbrow,height,weight,egggroupn,egggroup1,egggroup2,expyield,expyieldgen5,gendercode,eggcycles,lv100exp,color,catchrate,body,evhp,evat,evde,evsa,evsd,evsp,footnotes,imagecode,imagecode2,imagecode3,ability1-2,abilityd3,form1,form2,form3,height2,height3,weight2,weight3,expyield2,expyieldgen5-2,abrow,gdex,imagecode4,tcg2,type2-2,ability1-3,abilityd4,form4,height4,weight4,expyield3,expyieldgen5-3,color2,adex,adexm,adexa,adex2,adexm2,adexa2,abilityn,abilityn2,abilityd2,ability2,type1-2,ability2-2,idex2,adexu,adexp,adexu2,adexp2,kdexm,hdex,oldhdex,sdex,egggroupn2,egggroup1-2,egggroupn3,egggroup1-3,gendercode2,gendercode3,kdexk,gdexc,evhp2,evat2,evde2,evsa2,evsd2,evsp2,type1-3,abilityn3,abilityn4,ability2-3,ability1-4,ability2-4,color3,body3,evhp3,evat3,evde3,evsa3,evsd3,evsp3,species2,heightn,tcg,type2-3,body2,weightn,catchrate2,formcolor2,formcolor3,forme,sprite,image,type1-4,color4,evhp4,evat4,evde4,evsa4,evsd4,evsp4,formcolor1,tcg3,imagecode5,imagecode6,type2-4,type2-5,type2-6,form5,form6,expyieldgen5-4,expyieldgen5-5,expyieldgen5-6,footprintform2,art,idex,species3,species4,expyield4,catchrate3,catchrate4,caption,abilityd5,abilityd6,width,display,type0,type0-2,ability1-5,height5,weight5,expyield5,color5,body4,body5,type2-1,ability3-3,ndex2,color6
熊宝宝,ヒメグマ,Teddiursa,小熊,,一般,,捡拾,采蜜,216,,193,198,,,,017,081,0.6,8.8,1,陆上,,124,66,127,20,"1,000,000",褐,120,06,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,飞毛腿,,,,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
圈圈熊,リングマ,Ursaring,冬眠,,一般,,毅力,紧张感,217,,194,199,,,,018,082,1.8,125.8,1,陆上,,189,175,127,20,"1,000,000",褐,60,06,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,飞毛腿,,,,,,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
熔岩虫,マグマッグ,Slugma,熔岩,,火,,熔岩铠甲,碎裂铠甲,218,,211,216,,,138,,,0.7,35.0,1,不定形,,78,50,127,20,"1,000,000",红,190,02,0,0,0,1,0,0,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,2,,,火焰之躯,,,,,,,,012,108,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
熔岩蜗牛,マグカルゴ,Magcargo,熔岩,,火,岩石,熔岩铠甲,碎裂铠甲,219,,212,217,,,139,,,0.8,55.0,1,不定形,,154,151,127,20,"1,000,000",红,75,02,0,0,2,0,0,0,,,,,,,,,,,,,,,,141,,,,,,,,,,,,,,,,,,,2,,,火焰之躯,,,,,,,,013,109,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小山猪,ウリムー,Swinub,小猪,,冰,地面,迟钝,厚脂肪,220,,191,195,,,172,280,132,0.4,6.5,1,陆上,,78,50,127,20,"1,250,000",褐,225,08,0,1,0,0,0,0,,,,,,,,,,,,,,,,200,075,,,,,,,,,,,,,,,,,,2,,,雪隐,,,258,,,,,076,,,203,,,,,,,,007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长毛猪,イノムー,Piloswine,野猪,,冰,地面,迟钝,厚脂肪,221,,192,196,,,173,281,133,1.1,55.8,1,陆上,,160,158,127,20,"1,250,000",褐,75,08,1,1,0,0,0,0,,,,,,,,,,,,,,,,201,076,,,,,,,,,,,,,,,,,,2,,,雪隐,,,259,,,,,077,,,204,,,,,,,,008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
太阳珊瑚,サニーゴ,Corsola,珊瑚,,水,岩石,活力,再生力,222,,171,173,,,,067,,0.6,5.0,2,水中1,水中3,113,144,191,20,"800,000",粉红,60,14,0,0,1,0,1,0,,File:222Corsola.png,File:222Corsola-Galar.png,,碎裂铠甲,,太阳珊瑚,伽勒尔的样子,,0.6,,0.5,,,,093,236,,,,,,,,,,,白,112,112,044,135,135,044,2,1,诅咒之躯,自然回复,幽灵,,237,,,,,,189,180,,,,,,,,146,,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
铁炮鱼,テッポウオ,Remoraid,喷射,,水,,活力,心情不定,223,,172,174,,044,114,274,,0.6,12.0,2,水中1,水中2,78,60,127,20,"1,000,000",灰,190,03,0,0,0,1,0,0,,,,,,,,,,,,,,,,,148,,,,,,,,,,,,,,,143,143,047,2,,,狙击手,,,235,,,,,,,,132,,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
章鱼桶,オクタン,Octillery,喷射,,水,,吸盘,心情不定,224,,173,175,,045,115,275,,0.9,28.5,2,水中1,水中2,164,168,127,20,"1,000,000",红,75,10,0,1,0,1,0,0,,,,,,,,,,,,,,,,,149,,,,,,,,,,,,,,,144,144,048,2,,,狙击手,,,236,,,,,,,,133,,,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信使鸟,デリバード,Delibird,搬运,,冰,飞行,干劲,不眠,225,,190,194,,,,256,032,0.9,16.0,2,水中1,陆上,183,116,127,20,"800,000",红,45,09,0,0,0,0,0,1,,,,,,,,,,,,,,,,209,078,,,,,,,,,,,,081,081,,095,095,,2,,,活力,,,254,,,,,090,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
巨翅飞鱼,マンタイン,Mantine,风筝,,水,飞行,悠游自如,水幕,226,,197,202,,047,116,063,,2.1,220.0,1,水中1,,168,170,127,25,"1,250,000",紫,25,09,0,0,0,0,2,0,,,,,,,,,,,,,,,,091,355,,,,,,,,,,,,,,,146,146,050,2,,,储水,,,234,,,,,,,,141,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盔甲鸟,エアームド,Skarmory,钢甲鸟,,钢,飞行,锐利目光,碎裂铠甲,227,,198,203,,153,045,231,162,1.7,50.5,1,飞行,,168,163,127,25,"1,250,000",灰,25,09,0,0,2,0,0,0,,,,,,,,,,,,,,,,189,,,,,,,,,,,,,208,,,270,,,2,,,结实,,,203,080,072,091,085,112,120,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
戴鲁比,デルビル,Houndour,阴暗,,恶,火,早起,紧张感,228,,209,214,,,,266,083,0.6,10.8,1,陆上,,114,66,127,20,"1,250,000",黑,120,08,0,0,0,1,0,0,,,,,,,,,,,,,,,,153,,,,,,,,,,,,,,,,289,,,2,,,引火,,,,,,110,,,,,176,,,,,,,075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黑鲁加,ヘルガー,Houndoom,阴暗,,恶,火,早起,紧张感,229,,210,215,,,161,267,084,1.4,35.0,1,陆上,,204,175,127,20,"1,250,000",黑,45,08,0,0,0,2,0,0,,File:229Houndoom.png,File:229Houndoom-Mega.png,,太阳之力,,黑鲁加,超级黑鲁加,,1.9,,49.5,,-;,210,154,,,,,,,,,,,,,,,,290,,,2,,,引火,,,,,,111,,,,,177,,,,,,,076,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
刺龙王,キングドラ,Kingdra,龙,,水,龙,悠游自如,湿气,230,,188,192,,200,109,070,,1.8,152.0,2,水中1,龙,207,243,127,20,"1,000,000",蓝,45,05,0,1,0,1,1,0,,,,,,,,,,,,,,,,231,,,,,,,,,,,,,,,,,,,2,,,狙击手,,,,,,,,,195,186,,,,,,,,041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小小象,ゴマゾウ,Phanpy,长鼻,,地面,,捡拾,沙隐,231,,195,200,,,034,209,085,0.5,33.5,1,陆上,,124,66,127,20,"1,000,000",蓝,120,08,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
顿甲,ドンファン,Donphan,铠甲,,地面,,结实,沙隐,232,,196,201,,,035,210,086,1.1,120.0,1,陆上,,189,175,127,20,"1,000,000",灰,60,08,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多边兽Ⅱ,ポリゴン２,Porygon2,虚拟,,一般,,复制,分析,233,,216,221,,209,,118,,0.6,32.5,1,矿物,,180,180,255,20,"1,000,000",红,45,07,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,,,282,,,2,,,下载,,,,090,,103,,,,,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
惊角鹿,オドシシ,Stantler,大角,,一般,,威吓,食草,234,,129,131,,,,033,191,1.4,71.2,1,陆上,,165,163,127,20,"1,250,000",褐,45,08,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,察觉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
图图犬,ドーブル,Smeargle,画画,,一般,,我行我素,心情不定,235,,157,159,124,,,235,,1.2,58.0,1,陆上,,106,88,127,20,"800,000",白,45,06,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,058,058,,070,070,,2,,,技术高手,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
无畏小子,バルキー,Tyrogue,打斗,,格斗,,毅力,干劲,236,,143,145,,,,100,070,0.7,21.0,1,未发现,,91,42,0,25,"1,000,000",紫,75,12,0,1,0,0,0,0,,,,,,,,,,,,,,,,061,107,,,,,,,,,,,,,,,,,,2,,,不屈之心,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鸭嘴宝宝,ブビィ,Magby,火种,,火,,火焰之躯,干劲,240,,150,152,,,,187,074,0.7,21.4,1,未发现,,117,73,63,25,"1,000,000",红,45,06,0,0,0,0,0,1,,,,,,,,,,,,,,,,073,,,,,,,,,,,,,166,,093,200,,101,,,,,,,053,,,,,,,,200,,,,,,,,018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大奶罐,ミルタンク,Miltank,奶牛,,一般,,厚脂肪,食草,241,,149,151,,117,,,,1.2,75.5,1,陆上,,200,172,254,20,"1,250,000",粉红,45,06,0,0,2,0,0,0,,,,,,,,,,,,,,,,046,,,,,,,,,,,,,138,,065,171,,072,2,,,胆量,,,,,062,,074,,,,,,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
幸福蛋,ハピナス,Blissey,幸福,,一般,,自然回复,治愈之心,242,,218,223,,008,,296,217,1.5,46.8,1,妖精,,255,608,254,40,"800,000",粉红,30,12,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,034,034,018,041,041,018,2,,,天恩,,,,017,010,017,017,,,,098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雷公,ライコウ,Raikou,天雷,,电,,压迫感,精神力,243,,238,243,,,203,126,,1.9,178.0,1,未发现,,216,261,255,80,"1,250,000",黄,3,08,0,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
炎帝,エンテイ,Entei,火山,,火,,压迫感,精神力,244,,239,244,,,202,186,,2.1,198.0,1,未发现,,217,261,255,80,"1,250,000",褐,3,08,1,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水君,スイクン,Suicune,极光,,水,,压迫感,精神力,245,,240,245,,,204,249,,2.0,187.0,1,未发现,,215,261,255,80,"1,250,000",蓝,3,08,0,0,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
幼基拉斯,ヨーギラス,Larvitar,岩石肤,,岩石,地面,毅力,沙隐,246,,244,249,,,193,216,087,0.6,72.0,1,怪兽,,67,60,127,40,"1,250,000",绿,45,06,0,1,0,0,0,0,,,,,,,,,,,,,,,,120,383,,,,,,,,,,,,,,,247,,148,,,,,,,292,,,,,102,,,,,,,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沙基拉斯,サナギラス,Pupitar,子弹,,岩石,地面,蜕皮,,247,,245,250,,,194,217,088,1.2,152.0,1,怪兽,,144,144,127,40,"1,250,000",灰,45,02,0,2,0,0,0,0,,,,,,,,,,,,,,,,121,394,,,,,,,,,,,,,,,248,,149,,,,,,,293,,,,,103,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
班基拉斯,バンギラス,Tyranitar,铠甲,,岩石,恶,扬沙,紧张感,248,,246,251,,,195,218,089,2.0,202.0,1,怪兽,,218,270,127,40,"1,250,000",绿,45,06,0,3,0,0,0,0,,File:248Tyranitar.png,File:248Tyranitar-Mega.png,,扬沙,,班基拉斯,超级班基拉斯,,2.5,,255.0,,-;,315,122,385,,,,,,,,,,,,,,,249,,150,,,,,,,294,,,,,104,,,,,,,,,,,141,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
洛奇亚,ルギア,Lugia,潜水,,超能力,飞行,压迫感,多重鳞片,249,,247,252,,,,301,,5.2,216.0,1,未发现,,220,306,255,120,"1,250,000",白,3,09,0,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
凤王,ホウオウ,Ho-Oh,虹色,,火,飞行,压迫感,再生力,250,,248,253,,,,286,,3.8,199.0,1,未发现,,220,306,255,120,"1,250,000",红,3,09,0,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
時拉比,セレビィ,Celebi,时空穿越,,超能力,草,自然回复,,251,,251,256,,,212,057,,0.6,5.0,1,未发现,,64,270,255,120,"1,059,860",绿,45,12,3,0,0,0,0,0,,,,,,,,,,,,,,,,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
木守宫,キモリ,Treecko,林蜥,,草,,茂盛,轻装,252,,,,,,129,142,033,0.5,5.0,2,怪兽,龙,65,62,31,20,"1,059,860",绿,45,06,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252Treecko.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
森林蜥蜴,ジュプトル,Grovyle,林蜥,,草,,茂盛,轻装,253,,,,,,130,143,034,0.9,21.6,2,怪兽,龙,141,142,31,20,"1,059,860",绿,45,06,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蜥蜴王,ジュカイン,Sceptile,密林,,草,,茂盛,轻装,254,,,,,,131,144,035,1.7,52.2,2,怪兽,龙,208,239,31,20,"1,059,860",绿,45,06,0,0,0,0,0,3,,File:254Sceptile.png,File:254Sceptile-Mega.png,,避雷针,,蜥蜴王,超级蜥蜴王,,1.9,,55.2,,-;,284,243,,,,龙,,,,,,,,,,,,,,,,,,,,,,,,,,,003,003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
火稚鸡,アチャモ,Torchic,雏鸡,,火,,猛火,加速,255,,,,,,015,211,036,0.4,2.5,1,陆上,,65,62,31,20,"1,059,860",红,45,07,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255Torchic.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
力壮鸡,ワカシャモ,Combusken,幼鸡,,火,格斗,猛火,加速,256,,,,,,016,212,037,0.9,19.5,1,陆上,,142,142,31,20,"1,059,860",红,45,06,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
火焰鸡,バシャーモ,Blaziken,猛火,,火,格斗,猛火,加速,257,,,,,,017,213,038,1.9,52.0,1,陆上,,209,239,31,20,"1,059,860",红,45,06,0,3,0,0,0,0,,File:257Blaziken.png,File:257Blaziken-Mega.png,,加速,,火焰鸡,超级火焰鸡,,,,,,-;,284,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水跃鱼,ミズゴロウ,Mudkip,沼鱼,,水,,激流,湿气,258,,,,,,011,095,135,0.4,7.6,2,怪兽,水中1,65,62,31,20,"1,059,860",蓝,45,08,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258Mudkip.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沼跃鱼,ヌマクロー,Marshtomp,沼鱼,,水,地面,激流,湿气,259,,,,,,012,096,136,0.7,28.0,2,怪兽,水中1,143,142,31,20,"1,059,860",蓝,45,06,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
巨沼怪,ラグラージ,Swampert,沼鱼,,水,地面,激流,湿气,260,,,,,,013,097,137,1.5,81.9,2,怪兽,水中1,210,241,31,20,"1,059,860",蓝,45,06,0,3,0,0,0,0,,File:260Swampert.png,File:260Swampert-Mega.png,,悠游自如,,巨沼怪,超级巨沼怪,,1.9,,102.0,,-;,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
土狼犬,ポチエナ,Poochyena,紧咬,,恶,,逃跑,胆怯,261,,,,,,,040,090,0.5,13.6,1,陆上,,55,56,127,15,"1,000,000",灰,255,08,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,飞毛腿,,,,,,,,044,010,010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大狼犬,グラエナ,Mightyena,紧咬,,恶,,威吓,自信过度,262,,,,,,,041,091,1.0,37.0,1,陆上,,128,147,127,15,"1,000,000",灰,127,08,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,飞毛腿,,,,,,,,045,011,011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蛇纹熊,ジグザグマ,Zigzagoon,豆狸,,一般,,捡拾,飞毛腿,263,,,,012,,047,,,0.4,17.5,1,陆上,,60,56,127,15,"1,000,000",褐,255,08,0,0,0,0,0,1,,File:263Zigzagoon.png,File:263Zigzagoon-Galar.png,,捡拾,,蛇纹熊,伽勒尔的样子,,,,,,,,,031,,,一般,,,,,,,,白,,,,,,,2,2,飞毛腿,贪吃鬼,恶,贪吃鬼,,,,,,,012,012,,,,,,,,,071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
直冲熊,マッスグマ,Linoone,猛冲,,一般,,捡拾,飞毛腿,264,,,,013,,048,,,0.5,32.5,1,陆上,,128,147,127,15,"1,000,000",白,90,08,0,0,0,0,0,2,,File:264Linoone.png,File:264Linoone-Galar.png,,捡拾,,直冲熊,伽勒尔的样子,,,,,,,,,032,,,一般,,,,,,,,,,,,,,,2,2,飞毛腿,贪吃鬼,恶,贪吃鬼,,,,,,,013,013,,,,,,,,,072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
刺尾虫,ケムッソ,Wurmple,虫宝宝,,虫,,鳞粉,逃跑,265,,,,,,154,,,0.3,3.6,1,虫,,54,56,127,15,"1,000,000",红,255,14,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,014,014,048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
甲壳茧,カラサリス,Silcoon,蛹,,虫,,蜕皮,,266,,,,,,155,,,0.6,10.0,1,虫,,72,72,127,15,"1,000,000",白,120,01,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,015,049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
狩猎凤蝶,アゲハント,Beautifly,蝴蝶,,虫,飞行,虫之预感,斗争心,267,,,,,,156,,,1.0,28.4,1,虫,,161,178,127,15,"1,000,000",黄,45,13,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,016,050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盾甲茧,マユルド,Cascoon,蛹,,虫,,蜕皮,,268,,,,,,,,,0.7,11.5,1,虫,,72,72,127,15,"1,000,000",紫,120,01,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,017,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
毒粉蛾,ドクケイル,Dustox,毒蛾,,虫,毒,鳞粉,复眼,269,,,,,,,,,1.2,31.6,1,虫,,161,173,127,15,"1,000,000",绿,45,13,0,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,018,018,052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
莲叶童子,ハスボー,Lotad,浮萍,,水,草,悠游自如,我行我素,270,,,,,,132,243,,0.5,2.6,2,水中1,植物,74,44,127,15,"1,059,860",绿,255,14,0,0,0,0,1,0,,,,,,,,,,,,,,,,,036,,,,,,,,,,,,,,,,,,2,,,雨盘,,,,,,,,055,019,019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
